Date,Customer_ID,Product,Category,Quantity,Price,Sales,Gender,Age,Year,Month_Name,Region,Age_Group,Customer_Type,Payment_Method,Sales_Channel,Cost_Price,Profit
21-01-2023,1088,Watch,Accessories,4,22860,91440,Male,18,2023,January,Central,18-25,New,Debit Card,Offline,15919.89,27760.43
22-01-2023,1048,Watch,Accessories,1,29555,29555,Female,21,2023,January,Central,18-25,Returning,Debit Card,Offline,19948.65,9606.35
22-01-2023,1090,Watch,Accessories,1,43391,43391,Female,29,2023,January,South,26-35,New,Debit Card,Offline,27067.36,16323.64
23-01-2023,1058,Bag,Accessories,5,16876,84380,Female,44,2023,January,Central,36-45,New,Credit Card,Online,11476.85,26995.75
24-01-2023,1041,Bag,Accessories,5,7088,35440,Male,59,2023,January,West,46-60,Returning,Credit Card,Offline,4301.07,13934.66
25-01-2023,1091,Laptop,Electronics,3,25500,76500,Female,40,2023,January,West,36-45,Returning,Debit Card,Offline,16963.99,25608.04
25-01-2023,1059,Bag,Accessories,2,6804,13608,Male,42,2023,January,Central,36-45,Returning,Credit Card,Online,5298.85,3010.31
26-01-2023,1079,Headphones,Electronics,4,7845,31380,Male,38,2023,January,South,36-45,Returning,Credit Card,Online,6080.01,7059.97
27-01-2023,1014,Headphones,Electronics,3,29800,89400,Female,41,2023,January,South,36-45,New,Debit Card,Offline,21450.9,25047.31
28-01-2023,1061,Bag,Accessories,5,24759,123795,Female,42,2023,January,South,36-45,Returning,Debit Card,Offline,15686.05,45364.77
28-01-2023,1061,Clothes,Fashion,4,25970,103880,Male,62,2023,January,North,60+,New,Cash,Offline,18438.06,30127.75
29-01-2023,1046,Shoes,Fashion,5,23517,117585,Male,63,2023,January,Central,60+,New,Credit Card,Online,18699.73,24086.37
30-01-2023,1061,Bag,Accessories,4,15852,63408,Female,49,2023,January,South,46-60,Returning,Credit Card,Offline,11381.98,17880.09
30-01-2023,1050,Watch,Accessories,2,33865,67730,Female,49,2023,January,West,46-60,New,Credit Card,Online,21665.22,24399.55
31-01-2023,1054,Mobile,Electronics,3,19946,59838,Female,22,2023,January,East,18-25,Returning,Cash,Offline,14459,16461
01-02-2023,1063,Shoes,Fashion,4,2836,11344,Female,53,2023,February,East,46-60,Returning,Debit Card,Offline,2198.22,2551.13
02-02-2023,1002,Shoes,Fashion,1,10379,10379,Male,63,2023,February,South,60+,Returning,Debit Card,Offline,7015.93,3363.07
02-02-2023,1050,Headphones,Electronics,1,32816,32816,Female,59,2023,February,East,46-60,New,Credit Card,Offline,20440.64,12375.36
03-02-2023,1006,Shoes,Fashion,4,33840,135360,Female,59,2023,February,East,46-60,New,UPI,Online,25901.29,31754.82
04-02-2023,1020,Bag,Accessories,4,8021,32084,Female,56,2023,February,North,46-60,New,Cash,Online,5279.19,10967.24
05-02-2023,1072,Watch,Accessories,4,6671,26684,Male,33,2023,February,West,26-35,New,Debit Card,Online,5095.04,6303.86
05-02-2023,1038,Watch,Accessories,1,23981,23981,Male,50,2023,February,West,46-60,New,Debit Card,Online,14822.46,9158.54
06-02-2023,1017,Laptop,Electronics,1,18974,18974,Male,38,2023,February,North,36-45,Returning,Debit Card,Offline,13506.64,5467.36
07-02-2023,1003,Watch,Accessories,4,47260,189040,Male,26,2023,February,North,26-35,Returning,UPI,Online,36714.6,42181.59
07-02-2023,1088,Watch,Accessories,5,45129,225645,Female,23,2023,February,East,18-25,Returning,Credit Card,Online,35832.22,46483.92
08-02-2023,1059,Headphones,Electronics,5,45732,228660,Male,62,2023,February,Central,60+,New,Credit Card,Online,35504.71,51136.45
09-02-2023,1013,Watch,Accessories,2,21508,43016,Female,52,2023,February,East,46-60,New,Cash,Offline,14784.78,13446.44
10-02-2023,1008,Laptop,Electronics,3,2133,6399,Female,56,2023,February,North,46-60,New,Cash,Online,1305.94,2481.18
10-02-2023,1089,Mobile,Electronics,5,12985,64925,Female,39,2023,February,West,36-45,Returning,Credit Card,Online,7916.11,25344.46
11-02-2023,1052,Bag,Accessories,1,44117,44117,Female,58,2023,February,East,46-60,Returning,Cash,Offline,31520.91,12596.09
12-02-2023,1001,Headphones,Electronics,5,4148,20740,Male,22,2023,February,Central,18-25,Returning,Cash,Offline,3114.55,5167.27
13-02-2023,1083,Mobile,Electronics,2,48445,96890,Male,59,2023,February,East,46-60,New,UPI,Online,35023.94,26842.13
13-02-2023,1091,Headphones,Electronics,2,13640,27280,Male,40,2023,February,South,36-45,New,Debit Card,Offline,10464.46,6351.09
14-02-2023,1059,Clothes,Fashion,3,18421,55263,Female,34,2023,February,East,26-35,New,UPI,Offline,13930.37,13471.9
15-02-2023,1070,Shoes,Fashion,5,14857,74285,Female,29,2023,February,North,26-35,Returning,UPI,Online,9821.66,25176.7
16-02-2023,1043,Clothes,Fashion,1,46636,46636,Female,40,2023,February,West,36-45,New,Debit Card,Offline,35744.51,10891.49
16-02-2023,1007,Watch,Accessories,1,3637,3637,Female,33,2023,February,West,26-35,Returning,UPI,Online,2658,979
17-02-2023,1046,Mobile,Electronics,4,597,2388,Female,20,2023,February,North,18-25,New,Debit Card,Offline,423.85,692.6
18-02-2023,1034,Watch,Accessories,1,11907,11907,Male,47,2023,February,South,46-60,New,Cash,Offline,8529.98,3377.02
18-02-2023,1077,Shoes,Fashion,3,31075,93225,Female,39,2023,February,North,36-45,New,UPI,Online,19957.76,33351.71
19-02-2023,1080,Headphones,Electronics,3,13222,39666,Male,26,2023,February,East,26-35,Returning,Credit Card,Online,8350.82,14613.54
20-02-2023,1035,Shoes,Fashion,1,13424,13424,Female,46,2023,February,North,46-60,New,Credit Card,Offline,8736.6,4687.4
21-02-2023,1049,Laptop,Electronics,1,4250,4250,Female,64,2023,February,North,60+,New,UPI,Online,3354.05,895.95
21-02-2023,1003,Shoes,Fashion,4,28233,112932,Male,54,2023,February,South,46-60,Returning,Debit Card,Offline,17504.53,42913.86
22-02-2023,1001,Laptop,Electronics,1,9035,9035,Male,40,2023,February,East,36-45,New,UPI,Offline,6622.18,2412.82
23-02-2023,1005,Shoes,Fashion,4,24987,99948,Female,30,2023,February,Central,26-35,Returning,Credit Card,Offline,18901.46,24342.16
24-02-2023,1053,Bag,Accessories,4,31151,124604,Female,49,2023,February,Central,46-60,Returning,UPI,Online,23189.72,31845.11
24-02-2023,1003,Laptop,Electronics,1,5166,5166,Female,63,2023,February,West,60+,Returning,UPI,Online,3233,1933
25-02-2023,1053,Mobile,Electronics,2,49277,98554,Female,64,2023,February,North,60+,Returning,Cash,Offline,35028.34,28497.31
26-02-2023,1092,Watch,Accessories,2,17494,34988,Male,40,2023,February,West,36-45,Returning,Cash,Offline,10641.34,13705.33
26-02-2023,1062,Watch,Accessories,4,2227,8908,Female,62,2023,February,South,60+,Returning,UPI,Offline,1515.59,2845.63
27-02-2023,1017,Clothes,Fashion,1,35122,35122,Male,34,2023,February,Central,26-35,Returning,Debit Card,Online,21446.38,13675.62
28-02-2023,1089,Watch,Accessories,2,11300,22600,Female,57,2023,February,North,46-60,Returning,Cash,Online,7835.04,6929.91
01-03-2023,1043,Headphones,Electronics,1,38323,38323,Male,38,2023,March,South,36-45,New,Cash,Offline,24408.69,13914.31
01-03-2023,1033,Bag,Accessories,1,43539,43539,Male,19,2023,March,South,18-25,New,Credit Card,Online,30890.46,12648.54
02-03-2023,1073,Shoes,Fashion,1,19208,19208,Female,54,2023,March,North,46-60,New,Debit Card,Offline,13959.42,5248.58
03-03-2023,1061,Clothes,Fashion,5,13319,66595,Male,23,2023,March,South,18-25,New,UPI,Online,9085.06,21169.71
04-03-2023,1099,Headphones,Electronics,1,9869,9869,Female,61,2023,March,North,60+,New,UPI,Offline,6584.49,3284.51
04-03-2023,1013,Headphones,Electronics,5,9783,48915,Male,35,2023,March,North,26-35,New,Cash,Online,6984.57,13992.13
05-03-2023,1094,Laptop,Electronics,4,31073,124292,Female,47,2023,March,East,46-60,Returning,Cash,Online,21320.53,39009.88
06-03-2023,1047,Watch,Accessories,2,13671,27342,Male,39,2023,March,West,36-45,New,Cash,Online,8912.88,9516.25
07-03-2023,1014,Mobile,Electronics,2,31433,62866,Female,50,2023,March,South,46-60,New,Debit Card,Offline,21048.84,20768.31
07-03-2023,1071,Mobile,Electronics,2,6274,12548,Female,47,2023,March,South,46-60,Returning,Debit Card,Online,4701.82,3144.36
08-03-2023,1077,Clothes,Fashion,2,7019,14038,Male,34,2023,March,East,26-35,New,UPI,Online,4407.29,5223.41
09-03-2023,1086,Bag,Accessories,2,11483,22966,Male,60,2023,March,East,46-60,New,Cash,Offline,9108.3,4749.4
09-03-2023,1061,Mobile,Electronics,2,31432,62864,Male,49,2023,March,East,46-60,New,Credit Card,Offline,23370.34,16123.33
10-03-2023,1039,Shoes,Fashion,2,31298,62596,Male,59,2023,March,Central,46-60,New,Credit Card,Online,23856.34,14883.32
11-03-2023,1084,Mobile,Electronics,4,18633,74532,Female,31,2023,March,Central,26-35,Returning,Credit Card,Offline,14235.62,17589.52
12-03-2023,1079,Clothes,Fashion,1,15439,15439,Male,27,2023,March,Central,26-35,New,Debit Card,Online,10985.93,4453.07
12-03-2023,1081,Mobile,Electronics,3,1281,3843,Female,64,2023,March,North,60+,New,Cash,Online,976.96,912.12
13-03-2023,1052,Shoes,Fashion,5,49550,247750,Male,53,2023,March,South,46-60,Returning,Credit Card,Offline,32258.44,86457.79
14-03-2023,1023,Laptop,Electronics,3,28124,84372,Female,51,2023,March,West,46-60,Returning,UPI,Offline,20394.9,23187.31
15-03-2023,1025,Bag,Accessories,3,7323,21969,Female,26,2023,March,North,26-35,New,Debit Card,Online,4497.05,8477.84
15-03-2023,1088,Clothes,Fashion,1,18989,18989,Female,59,2023,March,South,46-60,Returning,Debit Card,Online,14188.62,4800.38
16-03-2023,1059,Laptop,Electronics,1,40461,40461,Female,45,2023,March,South,36-45,Returning,Credit Card,Online,27806.01,12654.99
17-03-2023,1040,Laptop,Electronics,1,29618,29618,Male,28,2023,March,East,26-35,Returning,Debit Card,Online,17870.82,11747.18
17-03-2023,1028,Laptop,Electronics,2,35381,70762,Male,31,2023,March,East,26-35,Returning,Debit Card,Offline,26631.79,17498.42
18-03-2023,1014,Headphones,Electronics,4,16780,67120,Female,56,2023,March,North,46-60,New,Cash,Offline,10530.13,24999.47
19-03-2023,1044,Bag,Accessories,2,22763,45526,Male,64,2023,March,East,60+,New,UPI,Online,15135.8,15254.4
20-03-2023,1064,Watch,Accessories,4,14065,56260,Male,36,2023,March,South,36-45,New,Credit Card,Online,9207.66,19429.34
20-03-2023,1088,Bag,Accessories,4,20854,83416,Female,32,2023,March,East,26-35,New,Credit Card,Offline,14247.36,26426.56
21-03-2023,1070,Headphones,Electronics,3,43451,130353,Male,45,2023,March,Central,36-45,New,Debit Card,Online,26562.19,50666.43
22-03-2023,1008,Watch,Accessories,3,26143,78429,Male,41,2023,March,East,36-45,Returning,Debit Card,Online,17578.99,25692.04
23-03-2023,1087,Bag,Accessories,4,24148,96592,Male,25,2023,March,South,18-25,New,Credit Card,Online,15370.85,35108.6
23-03-2023,1000,Laptop,Electronics,4,42471,169884,Female,60,2023,March,North,46-60,New,Credit Card,Online,28573.76,55588.97
24-03-2023,1007,Clothes,Fashion,2,19158,38316,Male,26,2023,March,West,26-35,Returning,UPI,Online,14504.71,9306.57
25-03-2023,1087,Watch,Accessories,2,21753,43506,Female,64,2023,March,East,60+,Returning,Cash,Offline,13855.54,15794.91
26-03-2023,1062,Shoes,Fashion,3,49063,147189,Male,50,2023,March,South,46-60,New,UPI,Online,32537.26,49577.22
26-03-2023,1010,Shoes,Fashion,1,26890,26890,Male,50,2023,March,West,46-60,New,Debit Card,Offline,19029.29,7860.71
27-03-2023,1080,Mobile,Electronics,4,23628,94512,Male,36,2023,March,West,36-45,Returning,Credit Card,Online,15700.88,31708.5
28-03-2023,1007,Watch,Accessories,2,13989,27978,Female,20,2023,March,Central,18-25,New,UPI,Online,10619.62,6738.76
28-03-2023,1034,Clothes,Fashion,3,38814,116442,Female,27,2023,March,West,26-35,Returning,Debit Card,Online,25310.52,40510.43
29-03-2023,1034,Headphones,Electronics,2,33158,66316,Male,57,2023,March,South,46-60,New,Cash,Offline,20231.59,25852.83
30-03-2023,1032,Laptop,Electronics,4,7352,29408,Female,64,2023,March,South,60+,New,Cash,Online,5071.36,9122.57
31-03-2023,1004,Mobile,Electronics,4,29950,119800,Male,59,2023,March,East,46-60,Returning,Credit Card,Offline,21340.33,34438.68
31-03-2023,1040,Shoes,Fashion,5,3051,15255,Female,18,2023,March,East,18-25,New,Cash,Offline,2391.68,3296.61
01-04-2023,1027,Headphones,Electronics,1,6911,6911,Female,46,2023,April,East,46-60,Returning,UPI,Offline,4827.4,2083.6
02-04-2023,1006,Headphones,Electronics,5,49659,248295,Male,51,2023,April,West,46-60,New,Credit Card,Offline,30980.69,93391.54
03-04-2023,1072,Laptop,Electronics,3,33743,101229,Male,30,2023,April,West,26-35,Returning,Cash,Online,24181.06,28685.82
03-04-2023,1071,Watch,Accessories,2,22300,44600,Male,18,2023,April,Central,18-25,Returning,UPI,Online,14716.78,15166.44
04-04-2023,1011,Shoes,Fashion,3,10903,32709,Male,51,2023,April,East,46-60,New,Cash,Offline,8404.57,7495.28
05-04-2023,1033,Clothes,Fashion,4,7739,30956,Female,46,2023,April,North,46-60,Returning,Debit Card,Offline,5517.01,8887.94
05-04-2023,1032,Headphones,Electronics,5,7210,36050,Female,64,2023,April,Central,60+,Returning,Credit Card,Offline,4937.65,11361.73
06-04-2023,1047,Laptop,Electronics,5,21884,109420,Female,30,2023,April,North,26-35,New,Credit Card,Offline,13952.76,39656.21
07-04-2023,1022,Clothes,Fashion,5,21538,107690,Male,46,2023,April,West,46-60,Returning,Credit Card,Online,15992.88,27725.62
08-04-2023,1061,Watch,Accessories,3,41346,124038,Male,56,2023,April,Central,46-60,Returning,Debit Card,Offline,28585.5,38281.49
08-04-2023,1087,Shoes,Fashion,4,22947,91788,Female,41,2023,April,Central,36-45,Returning,UPI,Offline,17539.07,21631.72
09-04-2023,1036,Watch,Accessories,2,2785,5570,Male,43,2023,April,South,36-45,New,Debit Card,Offline,1755.21,2059.58
10-04-2023,1098,Headphones,Electronics,2,38491,76982,Female,34,2023,April,West,26-35,New,Debit Card,Online,27659.42,21663.17
11-04-2023,1043,Clothes,Fashion,3,14021,42063,Female,24,2023,April,West,18-25,New,UPI,Offline,11156.8,8592.59
11-04-2023,1085,Clothes,Fashion,5,48157,240785,Female,30,2023,April,Central,26-35,New,Debit Card,Online,34945.81,66055.93
12-04-2023,1090,Clothes,Fashion,1,7471,7471,Female,22,2023,April,West,18-25,New,Debit Card,Offline,5573.73,1897.27
13-04-2023,1034,Headphones,Electronics,3,29639,88917,Female,43,2023,April,Central,36-45,New,Debit Card,Online,21260.48,25135.57
14-04-2023,1064,Headphones,Electronics,3,20409,61227,Male,20,2023,April,South,18-25,Returning,Credit Card,Offline,15485.1,14771.69
14-04-2023,1098,Watch,Accessories,4,12031,48124,Male,24,2023,April,Central,18-25,New,UPI,Online,8623.35,13630.58
15-04-2023,1046,Mobile,Electronics,2,15221,30442,Male,56,2023,April,West,46-60,New,Credit Card,Offline,10535.35,9371.3
16-04-2023,1077,Watch,Accessories,3,19706,59118,Female,18,2023,April,West,18-25,Returning,UPI,Offline,14392.44,15940.67
16-04-2023,1002,Shoes,Fashion,3,38211,114633,Female,34,2023,April,Central,26-35,New,Cash,Online,27093.15,33353.54
17-04-2023,1000,Laptop,Electronics,5,7030,35150,Female,60,2023,April,Central,46-60,Returning,Cash,Offline,5417.12,8064.42
18-04-2023,1004,Clothes,Fashion,5,11616,58080,Female,42,2023,April,Central,36-45,Returning,Debit Card,Online,6975.36,23203.2
19-04-2023,1089,Mobile,Electronics,1,758,758,Male,20,2023,April,East,18-25,New,Cash,Offline,545.08,212.92
19-04-2023,1013,Laptop,Electronics,4,782,3128,Male,32,2023,April,West,26-35,Returning,Credit Card,Online,513.87,1072.5
20-04-2023,1026,Mobile,Electronics,1,14437,14437,Female,46,2023,April,West,46-60,New,Cash,Online,11461.75,2975.25
21-04-2023,1008,Bag,Accessories,5,2398,11990,Female,60,2023,April,East,46-60,Returning,UPI,Online,1758.01,3199.95
22-04-2023,1078,Watch,Accessories,2,4635,9270,Female,49,2023,April,Central,46-60,Returning,Cash,Offline,2919.1,3431.79
22-04-2023,1014,Headphones,Electronics,5,7129,35645,Male,43,2023,April,South,36-45,New,Cash,Offline,5398.1,8654.5
23-04-2023,1089,Clothes,Fashion,4,44436,177744,Male,33,2023,April,Central,26-35,Returning,Cash,Online,29856.09,58319.63
24-04-2023,1041,Watch,Accessories,5,20084,100420,Male,42,2023,April,Central,36-45,Returning,Debit Card,Online,15251.37,24163.14
24-04-2023,1076,Laptop,Electronics,4,24051,96204,Female,45,2023,April,East,36-45,Returning,Credit Card,Online,17487.63,26253.48
25-04-2023,1050,Bag,Accessories,4,33880,135520,Female,26,2023,April,West,26-35,Returning,Credit Card,Online,25264.5,34461.99
26-04-2023,1062,Bag,Accessories,4,47471,189884,Male,18,2023,April,Central,18-25,Returning,Debit Card,Offline,28751.03,74879.88
27-04-2023,1095,Bag,Accessories,4,17571,70284,Female,46,2023,April,West,46-60,Returning,Credit Card,Online,12364.7,20825.18
27-04-2023,1051,Laptop,Electronics,4,20574,82296,Male,39,2023,April,North,36-45,Returning,Cash,Offline,16287.53,17145.86
28-04-2023,1095,Laptop,Electronics,2,25688,51376,Female,33,2023,April,West,26-35,New,UPI,Offline,16715.02,17945.97
29-04-2023,1003,Laptop,Electronics,1,2807,2807,Male,58,2023,April,South,46-60,Returning,Credit Card,Offline,1886.32,920.68
30-04-2023,1093,Laptop,Electronics,3,40401,121203,Female,61,2023,April,South,60+,Returning,Debit Card,Offline,25671.22,44189.35
30-04-2023,1022,Bag,Accessories,1,11705,11705,Male,58,2023,April,Central,46-60,New,Credit Card,Online,8716.99,2988.01
01-05-2023,1014,Bag,Accessories,4,6406,25624,Male,24,2023,May,West,18-25,Returning,Credit Card,Online,4663.9,6968.4
02-05-2023,1042,Mobile,Electronics,2,3091,6182,Male,31,2023,May,Central,26-35,New,Debit Card,Online,2116.55,1948.9
03-05-2023,1028,Watch,Accessories,5,15649,78245,Male,46,2023,May,East,46-60,New,Cash,Online,10667.75,24906.26
03-05-2023,1035,Clothes,Fashion,2,45418,90836,Male,36,2023,May,South,36-45,Returning,Debit Card,Offline,31634.61,27566.77
04-05-2023,1012,Headphones,Electronics,4,40451,161804,Male,36,2023,May,Central,36-45,New,Debit Card,Online,27599.21,51407.15
05-05-2023,1031,Bag,Accessories,2,25650,51300,Female,19,2023,May,East,18-25,Returning,Credit Card,Online,18447.33,14405.33
05-05-2023,1070,Headphones,Electronics,2,32352,64704,Female,58,2023,May,Central,46-60,Returning,Cash,Online,23019.31,18665.38
06-05-2023,1058,Watch,Accessories,4,43370,173480,Female,62,2023,May,West,60+,Returning,Debit Card,Offline,30401.42,51874.32
07-05-2023,1085,Watch,Accessories,2,1783,3566,Male,32,2023,May,West,26-35,Returning,Debit Card,Offline,1413.36,739.27
08-05-2023,1027,Headphones,Electronics,3,34191,102573,Male,20,2023,May,West,18-25,New,Debit Card,Offline,21846.96,37032.11
08-05-2023,1065,Bag,Accessories,3,1625,4875,Female,28,2023,May,West,26-35,Returning,Debit Card,Online,1238.46,1159.62
09-05-2023,1041,Headphones,Electronics,2,2029,4058,Male,63,2023,May,North,60+,New,Credit Card,Online,1370.96,1316.08
10-05-2023,1044,Mobile,Electronics,5,26670,133350,Male,47,2023,May,East,46-60,Returning,Debit Card,Offline,20810.61,29296.93
11-05-2023,1061,Shoes,Fashion,4,8938,35752,Male,57,2023,May,East,46-60,Returning,Cash,Online,6255.35,10730.59
11-05-2023,1056,Bag,Accessories,3,20595,61785,Male,35,2023,May,West,26-35,New,UPI,Online,15325.09,15809.72
12-05-2023,1005,Bag,Accessories,5,16654,83270,Male,19,2023,May,North,18-25,Returning,Credit Card,Online,12199.57,22272.16
13-05-2023,1027,Clothes,Fashion,2,8504,17008,Female,49,2023,May,West,46-60,Returning,Cash,Offline,5893.49,5221.01
13-05-2023,1027,Laptop,Electronics,5,10252,51260,Female,25,2023,May,North,18-25,New,Debit Card,Offline,7320.56,14657.22
14-05-2023,1043,Shoes,Fashion,1,43860,43860,Female,39,2023,May,West,36-45,New,UPI,Online,26379.7,17480.3
15-05-2023,1083,Watch,Accessories,3,27319,81957,Female,23,2023,May,South,18-25,New,UPI,Online,16736.47,31747.58
16-05-2023,1029,Bag,Accessories,2,37132,74264,Female,29,2023,May,South,26-35,Returning,UPI,Online,23265.23,27733.55
16-05-2023,1061,Headphones,Electronics,4,27015,108060,Male,64,2023,May,Central,60+,Returning,Debit Card,Offline,19272.24,30971.04
17-05-2023,1074,Shoes,Fashion,2,24717,49434,Male,57,2023,May,West,46-60,Returning,UPI,Offline,15846.75,17740.51
18-05-2023,1091,Clothes,Fashion,4,23672,94688,Male,53,2023,May,East,46-60,New,UPI,Online,14300.49,37486.05
19-05-2023,1088,Watch,Accessories,2,33494,66988,Male,32,2023,May,Central,26-35,New,Cash,Offline,22469.16,22049.67
19-05-2023,1061,Laptop,Electronics,5,15536,77680,Female,45,2023,May,South,36-45,New,Debit Card,Offline,9595.55,29702.24
20-05-2023,1096,Laptop,Electronics,5,12239,61195,Female,62,2023,May,West,60+,New,Debit Card,Online,7516.84,23610.78
21-05-2023,1000,Clothes,Fashion,5,32720,163600,Female,35,2023,May,Central,26-35,Returning,Debit Card,Online,22955.34,48823.31
22-05-2023,1026,Clothes,Fashion,1,49916,49916,Male,19,2023,May,West,18-25,Returning,UPI,Online,38182.55,11733.45
22-05-2023,1061,Headphones,Electronics,4,10087,40348,Female,30,2023,May,South,26-35,New,Debit Card,Offline,7081.24,12023.05
23-05-2023,1076,Bag,Accessories,5,45017,225085,Male,62,2023,May,Central,60+,Returning,Credit Card,Offline,35771.84,46225.81
24-05-2023,1002,Laptop,Electronics,1,30629,30629,Female,32,2023,May,South,26-35,Returning,Debit Card,Offline,18408.55,12220.45
24-05-2023,1069,Watch,Accessories,4,1145,4580,Female,37,2023,May,North,36-45,Returning,Credit Card,Online,825.61,1277.57
25-05-2023,1071,Shoes,Fashion,2,31430,62860,Male,46,2023,May,South,46-60,New,Cash,Online,19338.43,24183.14
26-05-2023,1026,Watch,Accessories,1,16799,16799,Male,59,2023,May,West,46-60,New,Debit Card,Online,10770.21,6028.79
27-05-2023,1008,Mobile,Electronics,3,30590,91770,Female,46,2023,May,East,46-60,Returning,UPI,Online,20701.41,29665.76
27-05-2023,1061,Mobile,Electronics,1,22453,22453,Female,20,2023,May,South,18-25,New,Credit Card,Offline,14070.56,8382.44
28-05-2023,1036,Clothes,Fashion,1,46943,46943,Male,36,2023,May,East,36-45,Returning,UPI,Offline,32338.58,14604.42
29-05-2023,1096,Headphones,Electronics,4,26975,107900,Female,20,2023,May,North,18-25,New,Cash,Online,19355.58,30477.69
30-05-2023,1050,Mobile,Electronics,2,19388,38776,Female,31,2023,May,Central,26-35,Returning,Cash,Offline,13338.6,12098.81
30-05-2023,1043,Laptop,Electronics,3,44232,132696,Male,57,2023,May,Central,46-60,Returning,Credit Card,Offline,32336.11,35687.66
31-05-2023,1023,Watch,Accessories,5,16587,82935,Female,21,2023,May,East,18-25,Returning,Cash,Offline,12801.01,18929.94
01-06-2023,1078,Watch,Accessories,5,46805,234025,Male,28,2023,June,Central,26-35,New,Credit Card,Online,29009.77,88976.17
01-06-2023,1058,Clothes,Fashion,1,46537,46537,Female,48,2023,June,South,46-60,New,Cash,Online,36186.4,10350.6
02-06-2023,1031,Bag,Accessories,4,9846,39384,Male,60,2023,June,East,46-60,New,UPI,Offline,7646.82,8796.72
03-06-2023,1095,Bag,Accessories,4,1087,4348,Female,49,2023,June,West,46-60,Returning,Cash,Online,698.16,1555.36
